id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>
1	abdominal / general	-0.3477	0.4859	3	51	8933	741
2	acute coronary syndrome	0.9942	-0.545	1	51	8076	1209
3	acute renal failure	-0.4522	-0.1908	5	51	16609	1420
4	acute respiratory distress	-0.1863	-0.8564	2	51	7211	749
5	acute respiratory failure	-0.389	-0.4526	2	51	21408	2061
6	altered mental status / pain	-0.0316	0.6708	4	51	24472	2247
7	anemia	-0.0336	0.4051	3	51	13417	934
8	arrhythmias	0.3463	-0.1015	1	51	18898	1994
9	atrial fibrillation	0.4897	-0.3245	1	51	11878	1194
10	bleeding and red blood cell disorders	-0.0056	0.3139	3	51	13986	1001
11	burns / trauma	-0.0655	0.7913	4	51	3960	745
12	cardiac surgery	1.2178	-0.2996	1	51	3829	718
13	cardiovascular	0.3508	-0.2426	1	51	56060	7853
14	change in mental status	-0.2501	0.8084	4	51	9583	916
15	chest pain / ashd	0.9329	-0.3377	1	51	16184	2100
16	chronic kidney disease	0.3227	-0.4371	5	51	7119	610
17	congestive heart failure	0.507	-0.8135	1	51	11969	1164
18	copd	0.2589	-0.725	1	51	7613	655
19	coronary artery disease	1.0282	-0.2019	1	51	6330	620
20	diabetes mellitus	0.6727	-0.0325	1	51	15337	1339
21	disorder of kidney	-0.0426	-0.2863	5	51	24770	2233
22	disorders of the airways	0.1569	-0.7269	1	51	13645	1436
23	disorders of vasculature	0.836	0.6532	4	51	9166	1332
24	electrolyte imbalance	-0.2011	0.5465	3	51	12261	882
25	endocrine	0.3978	0.1971	1	51	27946	2640
26	gastrointestinal	-0.5161	0.4256	3	51	23894	2688
27	gi bleeding / pud	-0.5456	0.5871	3	51	6183	856
28	glucose metabolism	0.4864	0.2663	1	51	25280	2281
29	hematology	-0.1386	0.2681	3	51	19755	1496
30	hyperglycemia	0.254	0.5112	3	51	11243	711
31	hypertension	0.8322	0.1978	1	51	18219	1801
32	hypotension	-0.7992	0.1655	2	51	8320	803
33	hypoxemia	-0.2709	-0.3234	2	51	8698	593
34	infectious diseases	-0.653	0.0599	2	51	17617	1417
35	neurologic	0.3266	0.6952	4	51	30648	3957
36	oncology	-0.3789	0.0106	3	51	4378	518
37	pain	0.2192	0.7082	3	51	7693	508
38	pneumonia	-0.6541	-0.6864	2	51	16020	1519
39	post-gi surgery	-0.8387	0.4328	3	51	3311	514
40	pulmonary	-0.1213	-0.5381	2	51	42173	4853
41	pulmonary infections	-0.6174	-0.7998	2	51	13692	1354
42	renal	-0.0742	-0.0346	5	51	34252	3216
43	respiratory failure	-0.287	-0.5826	2	51	30202	3052
44	sepsis	-0.9596	-0.4554	2	51	15352	1527
45	septic shock	-1.0672	-0.1132	2	51	5954	507
46	severe	-0.9377	-0.2236	2	51	8508	749
47	shock / hypotension	-0.7643	-0.2331	2	51	25030	2591
48	stroke	0.9415	0.761	4	51	6033	875
49	systemic / other infections	-0.8141	0.0167	2	51	11599	890
50	toxicology	-0.4755	0.8416	4	51	2379	552
51	vascular disorders	0.742	0.3392	1	51	14476	1460
52	ventricular disorders	0.6045	-0.5949	1	51	18785	1941
